"sector","village","HHID","income1","income2","days_flour","days_bread","source_flour","source_bread"
"Gahengeri","Akabuga",4003,60000,"80000",4,0,5,NA
"Gahengeri","Akabuga",4080,12000,"0",3,0,1,NA
"Gahengeri","Akabuga",4081,0,"1500000",7,7,5,5
"Gahengeri","Akabuga",4083,0,"200000",7,0,6,NA
"Gahengeri","Akabuga",4086,15000,"6000",2,2,5,5
"Gahengeri","Akabuga",4088,15000,"0",4,0,5,NA
"Gahengeri","Akabuga",4089,0,"0",2,0,5,NA
"Gahengeri","Akabuga",4090,2000,"0",3,0,5,NA
"Gahengeri","Akabuga",4091,0,"0",2,0,5,NA
"Gahengeri","Akabuga",4213,50000,"130000",5,0,1,NA
"Gahengeri","Akabuga",4214,10000,"0",7,0,1,NA
"Gahengeri","Akabuga",4216,0,"0",7,0,5,NA
"Gahengeri","Akabuga",4217,6000,"0",4,0,1,NA
"Gahengeri","Akabuga",4218,0,"0",0,0,NA,NA
"Gahengeri","Akabuga",4220,28000,"90000",7,0,5,NA
"Gahengeri","Akabuga",4221,33000,"0",0,0,NA,NA
"Gahengeri","Akabuga",4223,0,"0",5,0,1,NA
"Gahengeri","Akabuga",4224,0,"0",3,0,1,NA
"Gahengeri","Akabuga",4227,40000,"0",7,0,1,NA
"Gahengeri","Akabuga",4229,12500,"0",7,0,1,NA
"Gahengeri","Akabuga",4230,23000,"0",7,0,1,NA
"Gahengeri","Akabuga",4231,0,"80000",7,0,5,NA
"Gahengeri","Akabuga",4232,0,"80000",2,0,5,NA
"Gahengeri","Akabuga",4234,15100,"1000000",2,3,5,5
"Gahengeri","Akabuga",4240,0,"50000",0,0,NA,NA
"Gahengeri","Akabuga",4242,0,"0",5,0,5,NA
"Gahengeri","Akabuga",4243,1600,"0",0,0,NA,NA
"Gahengeri","Akabuga",4244,15000,"0",3,0,3,NA
"Gahengeri","Akabuga",4245,0,"0",0,0,NA,NA
"Gahengeri","Akabuga",4246,2400,"0",5,0,5,NA
"Gahengeri","Akabuga",4247,112700,"550000",5,0,5,NA
"Gahengeri","Akabuga",4248,230000,"0",1,0,5,NA
"Gahengeri","Akabuga",4250,16000,"5000",0,0,NA,NA
"Gahengeri","Akabuga",4252,50000,"30000",2,0,5,NA
"Gahengeri","Akabuga",4314,15000,"0",1,0,5,NA
"Gahengeri","Akabuga",4316,0,"1500000",2,4,5,5
"Gahengeri","Akabuga",4317,180000,"1000000",4,5,5,5
"Gahengeri","Akabuga",4318,0,"0",5,0,5,NA
"Gahengeri","Akabuga",4335,0,"1800000",0,0,NA,NA
