"village_id","village","hh_id","hh_members"
1001,"Abakina",100001,7
1001,"Abakina",100002,10
1001,"Abakina",100003,7
1001,"Abakina",100004,7
1001,"Abakina",100005,3
1001,"Abakina",100006,5
1001,"Abakina",100007,3
1001,"Abakina",100008,8
1001,"Abakina",100009,1
1001,"Abakina",100010,7
1001,"Abakina",100011,9
1001,"Abakina",100012,10
1001,"Abakina",100013,1
1001,"Abakina",100014,9
1001,"Abakina",100015,1
1001,"Abakina",100016,3
1001,"Abakina",100017,3
1001,"Abakina",100018,4
1001,"Abakina",100019,11
1001,"Abakina",100020,11
1001,"Abakina",100021,9
1001,"Abakina",100022,10
1001,"Abakina",100023,10
1001,"Abakina",100024,4
1001,"Abakina",100025,11
1001,"Abakina",100026,2
1001,"Abakina",100027,11
1001,"Abakina",100028,8
1001,"Abakina",100029,11
1001,"Abakina",100030,3
1001,"Abakina",100031,6
1001,"Abakina",100032,9
1001,"Abakina",100033,4
1001,"Abakina",100034,9
1001,"Abakina",100035,4
1001,"Abakina",100036,9
1001,"Abakina",100037,8
1001,"Abakina",100038,5
1001,"Abakina",100039,3
1001,"Abakina",100040,6
1001,"Abakina",100041,2
1001,"Abakina",100042,10
1001,"Abakina",100043,2
1001,"Abakina",100044,3
1001,"Abakina",100045,3
1001,"Abakina",100046,3
1001,"Abakina",100047,5
1001,"Abakina",100048,8
1001,"Abakina",100049,4
1001,"Abakina",100050,3
1001,"Abakina",100051,3
1001,"Abakina",100052,1
1001,"Abakina",100053,9
1001,"Abakina",100054,3
1001,"Abakina",100055,2
1001,"Abakina",100056,7
1001,"Abakina",100057,3
1001,"Abakina",100058,9
1001,"Abakina",100059,1
1001,"Abakina",100060,1
1001,"Abakina",100061,2
1001,"Abakina",100062,4
1001,"Abakina",100063,3
1001,"Abakina",100064,10
1001,"Abakina",100065,5
1001,"Abakina",100066,2
1001,"Abakina",100067,11
1001,"Abakina",100068,8
1001,"Abakina",100069,2
1001,"Abakina",100070,11
1001,"Abakina",100071,7
1001,"Abakina",100072,6
1001,"Abakina",100073,9
1001,"Abakina",100074,7
1001,"Abakina",100075,9
1001,"Abakina",100076,7
1001,"Abakina",100077,6
1001,"Abakina",100078,5
1001,"Abakina",100079,6
1001,"Abakina",100080,5
1001,"Abakina",100081,3
1001,"Abakina",100082,6
1001,"Abakina",100083,7
1001,"Abakina",100084,6
1001,"Abakina",100085,5
1001,"Abakina",100086,9
1001,"Abakina",100087,8
1001,"Abakina",100088,11
1001,"Abakina",100089,5
1001,"Abakina",100090,2
1001,"Abakina",100091,1
1001,"Abakina",100092,2
1001,"Abakina",100093,6
1001,"Abakina",100094,2
1001,"Abakina",100095,7
1001,"Abakina",100096,7
1001,"Abakina",100097,3
1001,"Abakina",100098,5
1001,"Abakina",100099,11
1001,"Abakina",100100,8
1001,"Abakina",100101,9
1001,"Abakina",100102,11
1001,"Abakina",100103,5
1001,"Abakina",100104,6
1001,"Abakina",100105,3
1001,"Abakina",100106,4
1001,"Abakina",100107,8
1001,"Abakina",100108,11
1001,"Abakina",100109,5
1001,"Abakina",100110,2
1001,"Abakina",100111,9
1001,"Abakina",100112,9
1001,"Abakina",100113,3
1001,"Abakina",100114,5
1001,"Abakina",100115,7
1001,"Abakina",100116,3
1001,"Abakina",100117,2
1001,"Abakina",100118,5
1001,"Abakina",100119,10
1001,"Abakina",100120,6
1001,"Abakina",100121,4
1001,"Abakina",100122,3
1001,"Abakina",100123,4
1001,"Abakina",100124,11
1001,"Abakina",100125,9
1001,"Abakina",100126,9
1001,"Abakina",100127,7
1001,"Abakina",100128,7
1001,"Abakina",100129,8
1001,"Abakina",100130,10
1001,"Abakina",100131,1
1001,"Abakina",100132,1
1001,"Abakina",100133,8
1001,"Abakina",100134,1
1001,"Abakina",100135,10
1001,"Abakina",100136,7
1001,"Abakina",100137,6
1001,"Abakina",100138,6
1001,"Abakina",100139,11
1001,"Abakina",100140,5
1001,"Abakina",100141,6
1001,"Abakina",100142,5
1001,"Abakina",100143,9
1001,"Abakina",100144,7
1001,"Abakina",100145,5
1001,"Abakina",100146,10
1001,"Abakina",100147,5
1001,"Abakina",100148,10
1002,"Abemeye Amahoro",100149,6
1002,"Abemeye Amahoro",100150,2
1002,"Abemeye Amahoro",100151,11
1002,"Abemeye Amahoro",100152,3
1002,"Abemeye Amahoro",100153,3
1002,"Abemeye Amahoro",100154,4
1002,"Abemeye Amahoro",100155,10
1002,"Abemeye Amahoro",100156,11
1002,"Abemeye Amahoro",100157,3
1002,"Abemeye Amahoro",100158,8
1002,"Abemeye Amahoro",100159,2
1002,"Abemeye Amahoro",100160,5
1002,"Abemeye Amahoro",100161,5
1002,"Abemeye Amahoro",100162,6
1002,"Abemeye Amahoro",100163,8
1002,"Abemeye Amahoro",100164,5
1002,"Abemeye Amahoro",100165,8
1002,"Abemeye Amahoro",100166,1
1002,"Abemeye Amahoro",100167,9
1002,"Abemeye Amahoro",100168,7
1002,"Abemeye Amahoro",100169,6
1002,"Abemeye Amahoro",100170,4
1002,"Abemeye Amahoro",100171,5
1002,"Abemeye Amahoro",100172,5
1002,"Abemeye Amahoro",100173,6
1002,"Abemeye Amahoro",100174,3
1002,"Abemeye Amahoro",100175,3
1002,"Abemeye Amahoro",100176,11
1002,"Abemeye Amahoro",100177,2
1002,"Abemeye Amahoro",100178,8
1002,"Abemeye Amahoro",100179,9
1002,"Abemeye Amahoro",100180,1
1002,"Abemeye Amahoro",100181,5
1002,"Abemeye Amahoro",100182,11
1002,"Abemeye Amahoro",100183,7
1002,"Abemeye Amahoro",100184,3
1002,"Abemeye Amahoro",100185,9
1002,"Abemeye Amahoro",100186,2
1002,"Abemeye Amahoro",100187,1
1002,"Abemeye Amahoro",100188,1
1002,"Abemeye Amahoro",100189,11
1002,"Abemeye Amahoro",100190,8
1002,"Abemeye Amahoro",100191,3
1002,"Abemeye Amahoro",100192,1
1002,"Abemeye Amahoro",100193,6
1002,"Abemeye Amahoro",100194,1
1002,"Abemeye Amahoro",100195,9
1002,"Abemeye Amahoro",100196,1
1002,"Abemeye Amahoro",100197,10
1002,"Abemeye Amahoro",100198,3
1002,"Abemeye Amahoro",100199,9
1002,"Abemeye Amahoro",100200,4
1002,"Abemeye Amahoro",100201,7
1002,"Abemeye Amahoro",100202,11
1002,"Abemeye Amahoro",100203,11
1002,"Abemeye Amahoro",100204,1
1002,"Abemeye Amahoro",100205,8
1002,"Abemeye Amahoro",100206,2
1002,"Abemeye Amahoro",100207,2
1002,"Abemeye Amahoro",100208,8
1002,"Abemeye Amahoro",100209,2
1002,"Abemeye Amahoro",100210,2
1002,"Abemeye Amahoro",100211,9
1002,"Abemeye Amahoro",100212,3
1002,"Abemeye Amahoro",100213,6
1002,"Abemeye Amahoro",100214,9
1002,"Abemeye Amahoro",100215,3
1002,"Abemeye Amahoro",100216,10
1002,"Abemeye Amahoro",100217,6
1002,"Abemeye Amahoro",100218,9
1002,"Abemeye Amahoro",100219,3
1002,"Abemeye Amahoro",100220,4
1002,"Abemeye Amahoro",100221,1
1002,"Abemeye Amahoro",100222,4
1002,"Abemeye Amahoro",100223,2
1002,"Abemeye Amahoro",100224,9
1002,"Abemeye Amahoro",100225,9
1002,"Abemeye Amahoro",100226,1
1002,"Abemeye Amahoro",100227,9
1002,"Abemeye Amahoro",100228,11
1002,"Abemeye Amahoro",100229,6
1002,"Abemeye Amahoro",100230,8
1002,"Abemeye Amahoro",100231,8
1002,"Abemeye Amahoro",100232,2
1002,"Abemeye Amahoro",100233,6
1002,"Abemeye Amahoro",100234,6
1002,"Abemeye Amahoro",100235,7
